geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,age_start,age_end,age_group_label,value,source_id,source_version,year
ESP,Spain,BLADDER,Bladder,Pęcherz moczowy,incidence,80,84,80-84,189.88,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,BLADDER,Bladder,Pęcherz moczowy,mortality,85,125,85+,124.15,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,incidence,80,84,80-84,24.02,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,mortality,75,79,75-79,22.05,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,BREAST,Breast,Pierś,incidence,75,79,75-79,231.14,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,BREAST,Breast,Pierś,mortality,85,125,85+,168.16,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,CERVIX,Cervix uteri,Szyjka macicy,incidence,80,84,80-84,19.56,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,CERVIX,Cervix uteri,Szyjka macicy,mortality,85,125,85+,12.56,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,COLORECTUM,Colorectum,Jelito grube i odbytnica,incidence,85,125,85+,374.62,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,COLORECTUM,Colorectum,Jelito grube i odbytnica,mortality,85,125,85+,305.38,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,CORPUS_UTERI,Corpus uteri,Trzon macicy,incidence,70,74,70-74,78.85,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,CORPUS_UTERI,Corpus uteri,Trzon macicy,mortality,85,125,85+,42.02,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,incidence,85,125,85+,9.21,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,mortality,85,125,85+,8.28,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,incidence,15,19,15-19,6.41,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,mortality,85,125,85+,2.55,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,incidence,70,74,70-74,5.71,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,mortality,70,74,70-74,2.31,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,incidence,85,125,85+,1.93,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,mortality,85,125,85+,0.87,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,KIDNEY,Kidney,Nerka,incidence,80,84,80-84,49.36,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,KIDNEY,Kidney,Nerka,mortality,85,125,85+,40.59,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LARYNX,Larynx,Krtań,incidence,80,84,80-84,20.65,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LARYNX,Larynx,Krtań,mortality,85,125,85+,11.27,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LEUKAEMIA,Leukaemia,Białaczka,incidence,85,125,85+,61.51,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LEUKAEMIA,Leukaemia,Białaczka,mortality,85,125,85+,60.14,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,incidence,85,125,85+,36.17,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,mortality,85,125,85+,16.5,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,incidence,85,125,85+,54.04,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,mortality,85,125,85+,67.93,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",incidence,75,79,75-79,211.64,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",mortality,80,84,80-84,189.6,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,MELANOMA,Melanoma of skin,Czerniak skóry,incidence,85,125,85+,38.73,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,MELANOMA,Melanoma of skin,Czerniak skóry,mortality,85,125,85+,16.25,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,Spain,MESOTHELIOMA,Mesothelioma,Międzybłoniak,incidence,80,84,80-84,6.93,iarc_globocan_2024,GLOBOCAN 2024,2024
