geography_code,measure,cancer_code,cancer_label_en,cancer_label_pl,value,rank,source_id,source_version,year
ESP,incidence,COLORECTUM,Colorectum,Jelito grube i odbytnica,39156.0,1,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,BREAST,Breast,Pierś,31226.0,2,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,PROSTATE,Prostate,Gruczoł krokowy,31095.0,3,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",28988.0,4,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,BLADDER,Bladder,Pęcherz moczowy,22322.0,5,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,OTHER,Other specified cancers,Inne określone nowotwory,15709.0,6,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,9183.0,7,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,PANCREAS,Pancreas,Trzustka,9057.0,8,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,KIDNEY,Kidney,Nerka,8089.0,9,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,CORPUS_UTERI,Corpus uteri,Trzon macicy,7700.0,10,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,STOMACH,Stomach,Żołądek,7359.0,11,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,6725.0,12,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,MELANOMA,Melanoma of skin,Czerniak skóry,6201.0,13,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,LEUKAEMIA,Leukaemia,Białaczka,5701.0,14,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,5404.0,15,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,THYROID,Thyroid,Tarczyca,5087.0,16,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,4455.0,17,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,incidence,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,4308.0,18,iarc_globocan_2024,GLOBOCAN 2024,2024
