geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,start_year,end_year,start_value,end_value,absolute_change,percent_change,cagr_percent,direction,scenario,projection_base_year,source_id,source_version,evidence_type,metric,caution
ESP,Spain,ALL,All cancers,Wszystkie nowotwory,incidence,2024,2050,271898.0,359894.0,87996.0,32.36360694083811,1.0842300448998587,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,ALL,All cancers,Wszystkie nowotwory,mortality,2024,2050,115696.0,180348.0,64652.0,55.8809293320426,1.7220525644105367,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,ALL_EX_NMSC,All cancers excluding non-melanoma skin cancer,Wszystkie nowotwory bez nieczerniakowych raków skóry,incidence,2024,2050,261994.0,343081.0,81087.0,30.949945418597373,1.0424925116818473,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,ALL_EX_NMSC,All cancers excluding non-melanoma skin cancer,Wszystkie nowotwory bez nieczerniakowych raków skóry,mortality,2024,2050,114884.0,178760.0,63876.0,55.60043173984192,1.7150063815154937,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,BLADDER,Bladder,Pęcherz moczowy,incidence,2024,2050,22322.0,32299.0,9977.0,44.69581578711585,1.4311579719385126,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,BLADDER,Bladder,Pęcherz moczowy,mortality,2024,2050,5933.0,10725.0,4792.0,80.76858250463509,2.3032296475427927,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,incidence,2024,2050,4308.0,5176.0,868.0,20.148560817084494,0.7084933990952003,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,mortality,2024,2050,3456.0,4364.0,908.0,26.273148148148145,0.901257149535728,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,BREAST,Breast,Pierś,incidence,2024,2050,31226.0,33237.0,2011.0,6.440146032152693,0.24033693224527752,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,BREAST,Breast,Pierś,mortality,2024,2050,6830.0,9618.0,2788.0,40.8199121522694,1.3252884632914963,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
