geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,year,standard_population,female,male,male_minus_female,male_female_ratio,source_id,source_version
ESP,Spain,BLADDER,Bladder,Pęcherz moczowy,incidence,2024,World standard population,5.91,31.81,25.9,5.382402707275803,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,BLADDER,Bladder,Pęcherz moczowy,mortality,2024,World standard population,1.01,6.45,5.44,6.3861386138613865,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,incidence,2024,World standard population,4.73,5.8,1.0699999999999994,1.2262156448202959,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,mortality,2024,World standard population,2.83,4.23,1.4000000000000004,1.4946996466431097,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,COLORECTUM,Colorectum,Jelito grube i odbytnica,incidence,2024,World standard population,25.0,41.97,16.97,1.6787999999999998,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,COLORECTUM,Colorectum,Jelito grube i odbytnica,mortality,2024,World standard population,7.5,13.55,6.050000000000001,1.8066666666666669,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,incidence,2024,World standard population,0.64,0.42,-0.22000000000000003,0.65625,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,mortality,2024,World standard population,0.28,0.25,-0.030000000000000027,0.8928571428571428,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,incidence,2024,World standard population,2.41,2.58,0.16999999999999993,1.070539419087137,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,mortality,2024,World standard population,0.17,0.24,0.06999999999999998,1.4117647058823528,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,incidence,2024,World standard population,0.17,1.41,1.24,8.294117647058822,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,mortality,2024,World standard population,0.06,0.54,0.48000000000000004,9.000000000000002,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,incidence,2024,World standard population,0.08,0.57,0.48999999999999994,7.124999999999999,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,mortality,2024,World standard population,0.01,0.05,0.04,5.0,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,KIDNEY,Kidney,Nerka,incidence,2024,World standard population,4.4,11.35,6.949999999999999,2.579545454545454,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,KIDNEY,Kidney,Nerka,mortality,2024,World standard population,1.1,3.2,2.1,2.909090909090909,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,LARYNX,Larynx,Krtań,incidence,2024,World standard population,0.64,5.54,4.9,8.65625,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,LARYNX,Larynx,Krtań,mortality,2024,World standard population,0.2,2.01,1.8099999999999998,10.049999999999999,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,LEUKAEMIA,Leukaemia,Białaczka,incidence,2024,World standard population,5.15,7.38,2.2299999999999995,1.433009708737864,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,LEUKAEMIA,Leukaemia,Białaczka,mortality,2024,World standard population,2.03,3.14,1.1100000000000003,1.5467980295566504,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,incidence,2024,World standard population,2.47,5.51,3.0399999999999996,2.2307692307692304,iarc_globocan_2024,GLOBOCAN 2024
