geography_code,year,source_list,icd_codes,sex,cancer_code,icd_revision,allocated,source_total,unallocated,difference,status
ESP,1968,08A,A045,female,LIP_ORAL,ICD-8,147.0,148.0,1.0,0.0,pass
ESP,1968,08A,A045,male,LIP_ORAL,ICD-8,498.0,500.0,2.0,0.0,pass
ESP,1968,08A,A046,female,OESOPHAGUS,ICD-8,292.0,292.0,0.0,0.0,pass
ESP,1968,08A,A046,male,OESOPHAGUS,ICD-8,772.0,775.0,3.0,0.0,pass
ESP,1968,08A,A047,female,STOMACH,ICD-8,3758.0,3774.0,16.0,0.0,pass
ESP,1968,08A,A047,male,STOMACH,ICD-8,5151.0,5169.0,18.0,0.0,pass
ESP,1968,08A,A048,female,COLORECTUM,ICD-8,1544.0,1554.0,10.0,0.0,pass
ESP,1968,08A,A048,male,COLORECTUM,ICD-8,1143.0,1150.0,7.0,0.0,pass
ESP,1968,08A,A049,female,COLORECTUM,ICD-8,606.0,613.0,7.0,0.0,pass
ESP,1968,08A,A049,male,COLORECTUM,ICD-8,593.0,596.0,3.0,0.0,pass
ESP,1968,08A,A050,female,LARYNX,ICD-8,91.0,91.0,0.0,0.0,pass
ESP,1968,08A,A050,male,LARYNX,ICD-8,1203.0,1207.0,4.0,0.0,pass
ESP,1968,08A,A051,female,LUNG,ICD-8,895.0,899.0,4.0,0.0,pass
ESP,1968,08A,A051,male,LUNG,ICD-8,3869.0,3882.0,13.0,0.0,pass
ESP,1968,08A,A052,female,BONE,ICD-8,292.0,292.0,0.0,0.0,pass
ESP,1968,08A,A052,male,BONE,ICD-8,320.0,324.0,4.0,0.0,pass
ESP,1968,08A,A053,female,MELANOMA,ICD-8,222.0,224.0,2.0,0.0,pass
ESP,1968,08A,A053,male,MELANOMA,ICD-8,191.0,192.0,1.0,0.0,pass
ESP,1968,08A,A054,female,BREAST,ICD-8,2092.0,2096.0,4.0,0.0,pass
ESP,1968,08A,A054,male,BREAST,ICD-8,21.0,21.0,0.0,0.0,pass
ESP,1968,08A,A055,female,CERVIX,ICD-8,252.0,252.0,0.0,0.0,pass
ESP,1968,08A,A056,female,CORPUS_UTERI,ICD-8,1747.0,1753.0,6.0,0.0,pass
ESP,1968,08A,A057,male,PROSTATE,ICD-8,2156.0,2163.0,7.0,0.0,pass
ESP,1968,08A,A059,female,LEUKAEMIA,ICD-8,611.0,612.0,1.0,0.0,pass
ESP,1968,08A,A059,male,LEUKAEMIA,ICD-8,770.0,771.0,1.0,0.0,pass
ESP,1968,08A,A060,female,NHL,ICD-8,292.0,294.0,2.0,0.0,pass
ESP,1968,08A,A060,male,NHL,ICD-8,473.0,474.0,1.0,0.0,pass
ESP,1969,08A,A045,female,LIP_ORAL,ICD-8,126.0,127.0,1.0,0.0,pass
ESP,1969,08A,A045,male,LIP_ORAL,ICD-8,463.0,465.0,2.0,0.0,pass
ESP,1969,08A,A046,female,OESOPHAGUS,ICD-8,279.0,279.0,0.0,0.0,pass
ESP,1969,08A,A046,male,OESOPHAGUS,ICD-8,791.0,799.0,8.0,0.0,pass
ESP,1969,08A,A047,female,STOMACH,ICD-8,3897.0,3914.0,17.0,0.0,pass
ESP,1969,08A,A047,male,STOMACH,ICD-8,5093.0,5112.0,19.0,0.0,pass
ESP,1969,08A,A048,female,COLORECTUM,ICD-8,1715.0,1725.0,10.0,0.0,pass
ESP,1969,08A,A048,male,COLORECTUM,ICD-8,1212.0,1217.0,5.0,0.0,pass
ESP,1969,08A,A049,female,COLORECTUM,ICD-8,575.0,577.0,2.0,0.0,pass
ESP,1969,08A,A049,male,COLORECTUM,ICD-8,632.0,634.0,2.0,0.0,pass
ESP,1969,08A,A050,female,LARYNX,ICD-8,91.0,92.0,1.0,0.0,pass
ESP,1969,08A,A050,male,LARYNX,ICD-8,1373.0,1382.0,9.0,0.0,pass
ESP,1969,08A,A051,female,LUNG,ICD-8,888.0,895.0,7.0,0.0,pass
ESP,1969,08A,A051,male,LUNG,ICD-8,3935.0,3946.0,11.0,0.0,pass
ESP,1969,08A,A052,female,BONE,ICD-8,324.0,325.0,1.0,0.0,pass
ESP,1969,08A,A052,male,BONE,ICD-8,401.0,403.0,2.0,0.0,pass
ESP,1969,08A,A053,female,MELANOMA,ICD-8,197.0,198.0,1.0,0.0,pass
ESP,1969,08A,A053,male,MELANOMA,ICD-8,211.0,212.0,1.0,0.0,pass
ESP,1969,08A,A054,female,BREAST,ICD-8,2229.0,2236.0,7.0,0.0,pass
ESP,1969,08A,A054,male,BREAST,ICD-8,21.0,21.0,0.0,0.0,pass
ESP,1969,08A,A055,female,CERVIX,ICD-8,224.0,226.0,2.0,0.0,pass
ESP,1969,08A,A056,female,CORPUS_UTERI,ICD-8,1558.0,1564.0,6.0,0.0,pass
ESP,1969,08A,A057,male,PROSTATE,ICD-8,1898.0,1906.0,8.0,0.0,pass
ESP,1969,08A,A059,female,LEUKAEMIA,ICD-8,578.0,580.0,2.0,0.0,pass
ESP,1969,08A,A059,male,LEUKAEMIA,ICD-8,671.0,673.0,2.0,0.0,pass
ESP,1969,08A,A060,female,NHL,ICD-8,300.0,301.0,1.0,0.0,pass
ESP,1969,08A,A060,male,NHL,ICD-8,504.0,504.0,0.0,0.0,pass
ESP,1970,08A,A045,female,LIP_ORAL,ICD-8,158.0,158.0,0.0,0.0,pass
ESP,1970,08A,A045,male,LIP_ORAL,ICD-8,508.0,511.0,3.0,0.0,pass
ESP,1970,08A,A046,female,OESOPHAGUS,ICD-8,299.0,303.0,4.0,0.0,pass
ESP,1970,08A,A046,male,OESOPHAGUS,ICD-8,829.0,832.0,3.0,0.0,pass
ESP,1970,08A,A047,female,STOMACH,ICD-8,3916.0,3932.0,16.0,0.0,pass
ESP,1970,08A,A047,male,STOMACH,ICD-8,5158.0,5185.0,27.0,0.0,pass
ESP,1970,08A,A048,female,COLORECTUM,ICD-8,1717.0,1726.0,9.0,0.0,pass
ESP,1970,08A,A048,male,COLORECTUM,ICD-8,1092.0,1097.0,5.0,0.0,pass
ESP,1970,08A,A049,female,COLORECTUM,ICD-8,633.0,638.0,5.0,0.0,pass
ESP,1970,08A,A049,male,COLORECTUM,ICD-8,642.0,644.0,2.0,0.0,pass
ESP,1970,08A,A050,female,LARYNX,ICD-8,110.0,110.0,0.0,0.0,pass
ESP,1970,08A,A050,male,LARYNX,ICD-8,1302.0,1307.0,5.0,0.0,pass
ESP,1970,08A,A051,female,LUNG,ICD-8,943.0,949.0,6.0,0.0,pass
ESP,1970,08A,A051,male,LUNG,ICD-8,4140.0,4158.0,18.0,0.0,pass
ESP,1970,08A,A052,female,BONE,ICD-8,293.0,293.0,0.0,0.0,pass
ESP,1970,08A,A052,male,BONE,ICD-8,409.0,410.0,1.0,0.0,pass
ESP,1970,08A,A053,female,MELANOMA,ICD-8,218.0,219.0,1.0,0.0,pass
ESP,1970,08A,A053,male,MELANOMA,ICD-8,196.0,196.0,0.0,0.0,pass
ESP,1970,08A,A054,female,BREAST,ICD-8,2231.0,2243.0,12.0,0.0,pass
ESP,1970,08A,A054,male,BREAST,ICD-8,19.0,19.0,0.0,0.0,pass
ESP,1970,08A,A055,female,CERVIX,ICD-8,188.0,190.0,2.0,0.0,pass
ESP,1970,08A,A056,female,CORPUS_UTERI,ICD-8,1821.0,1833.0,12.0,0.0,pass
